分类,English,德语/German,意大利语/Italian,西班牙语/Spanish,法语/French,波兰语/Polish,荷兰语/Dutch,爱尔兰语/Irish,日语/Japanese,阿拉伯语/Arabic,葡萄牙语/Portuguese
页面标题,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center,INIU Care Center
页面标题,A few quick details help us understand what you need and get you the right support faster. It only takes a few moments—we've got you.,"Ein paar kurze Angaben helfen uns zu verstehen, was Sie brauchen, und bringen Sie schneller zur richtigen Unterstützung. Es dauert nur einen Moment – wir sind für Sie da.",Qualche rapido dettaglio ci aiuta a capire di cosa hai bisogno e a offrirti il supporto giusto più velocemente. Bastano pochi istanti – ci pensiamo noi.,"Unos pocos detalles rápidos nos ayudan a entender lo que necesitas y brindarte el soporte adecuado más rápido. Solo toma unos momentos, estamos contigo.",Quelques détails rapides nous aident à comprendre ce dont vous avez besoin et à vous apporter le bon support plus rapidement. Cela ne prend que quelques instants – nous sommes là pour vous.,"Kilka krótkich informacji pomoże nam zrozumieć, czego potrzebujesz, i szybciej zapewnić Ci odpowiednie wsparcie. To zajmie tylko chwilę – jesteśmy do Twojej dyspozycji.",Een paar snelle gegevens helpen ons te begrijpen wat je nodig hebt en je sneller de juiste ondersteuning te bieden. Het duurt maar even – we staan voor je klaar.,Cuidíonn cúpla sonra tapa linn tuiscint a fháil ar a bhfuil uait agus an tacaíocht cheart a thabhairt duit níos tapúla. Ní thógann sé ach cúpla nóiméad – táimid anseo duit.,いくつかの簡単な情報で、お客様のニーズを理解し、適切なサポートをより早く提供できます。ほんの少しのお時間で完了します––私たちがサポートします。,تساعدنا بعض التفاصيل السريعة في فهم ما تحتاج إليه وتقديم الدعم المناسب لك بشكل أسرع. لن يستغرق الأمر سوى بضع لحظات – نحن هنا من أجلك.,Alguns detalhes rápidos nos ajudam a entender o que você precisa e a oferecer o suporte certo mais rapidamente. Leva apenas alguns instantes – estamos aqui por você.
主分类,How can we help you?,Wie können wir Ihnen helfen?,Come possiamo aiutarti?,¿Cómo podemos ayudarte?,Comment pouvons-nous vous aider ?,Jak możemy Ci pomóc?,Hoe kunnen we je helpen?,Conas is féidir linn cabhrú leat?,どのようにお手伝いできますか？,كيف يمكننا مساعدتك؟,Como podemos ajudar você?
主分类,Activate my warranty,Meine Garantie aktivieren,Attiva la mia garanzia,Activar mi garantía,Activer ma garantie,Aktywuj moją gwarancję,Mijn garantie activeren,Gníomhachtaigh mo bharántas,保証を有効化する,تفعيل الضمان الخاص بي,Ativar minha garantia
主分类,Order & Product Support,Bestell- & Produktsupport,Supporto ordini e prodotti,Soporte de pedidos y productos,Assistance commandes et produits,Wsparcie zamówień i produktów,Order- en productondersteuning,Tacaíocht Ordaithe & Táirgí,注文・製品サポート,دعم الطلبات والمنتجات,Suporte de pedidos e produtos
主分类,Pre-Sales & Product Inquiry,Vorverkauf & Produktanfrage,Prevendita e informazioni prodotto,Preventa y consulta de productos,Pré-vente et demande de renseignements,Przedsprzedaż i zapytania o produkty,Pre-sales & productinformatie,Réamhdhíol & Fiosrúchán Táirgí,購入前・製品問い合わせ,استفسارات ما قبل البيع والمنتجات,Pré-venda e consulta de produtos
主分类,Business & Partnerships,Geschäft & Partnerschaften,Business e partnership,Negocios y colaboraciones,Affaires et partenariats,Biznes i partnerstwa,Zakelijk & partnerschappen,Gnó & Comhpháirtíochtaí,ビジネス・パートナーシップ,الأعمال والشراكات,Negócios e parcerias
主分类,Account,Konto,Account,Cuenta,Compte,Konto,Account,Cuntas,アカウント,الحساب,Conta
主分类,Other Issues,Andere Probleme,Altri problemi,Otros problemas,Autres problèmes,Inne problemy,Andere problemen,Saincheisteanna Eile,その他の問題,مشكلات أخرى,Outros problemas
保修,Activate Warranty Now,Garantie jetzt aktivieren,Attiva la garanzia ora,Activar garantía ahora,Activer la garantie maintenant,Aktywuj gwarancję teraz,Garantie nu activeren,Gníomhachtaigh Barántas Anois,今すぐ保証を有効化,تفعيل الضمان الآن,Ativar garantia agora
账户,Account Access & Security,Kontozugriff & Sicherheit,Accesso e sicurezza account,Acceso y seguridad de la cuenta,Accès au compte et sécurité,Dostęp do konta i bezpieczeństwo,Accounttoegang en beveiliging,Rochtain & Slándáil Cuntais,アカウントアクセスとセキュリティ,الوصول إلى الحساب والأمان,Acesso e segurança da conta
账户,Newsletter & Subscriptions,Newsletter & Abonnements,Newsletter e abbonamenti,Boletín y suscripciones,Newsletter et abonnements,Newsletter i subskrypcje,Nieuwsbrief en abonnementen,Nuachtlitir & Síntiúis,ニュースレターと購読,النشرة الإخبارية والاشتراكات,Newsletter e assinaturas
账户,Password Reset Issue,Problem mit Passwort-Zurücksetzung,Problema di reimpostazione password,Problema al restablecer contraseña,Problème de réinitialisation du mot de passe,Problem z resetowaniem hasła,Probleem met wachtwoord resetten,Fadhb Athshocraithe Pasfhocal,パスワードリセットの問題,مشكلة إعادة تعيين كلمة المرور,Problema ao redefinir senha
账户,Verification Code Not Received,Bestätigungscode nicht erhalten,Codice di verifica non ricevuto,Código de verificación no recibido,Code de vérification non reçu,Nie otrzymano kodu weryfikacyjnego,Verificatiecode niet ontvangen,Cód Deimhnithe nár Fuarthas,確認コードが届かない,لم يتم استلام رمز التحقق,Código de verificação não recebido
账户,Account Locked / Delete Account,Konto gesperrt / Konto löschen,Account bloccato / Elimina account,Cuenta bloqueada / Eliminar cuenta,Compte verrouillé / Supprimer le compte,Konto zablokowane / Usuń konto,Account vergrendeld / Account verwijderen,Cuntas Faoi Ghlas / Scrios Cuntas,アカウントロック / アカウント削除,الحساب مقفل / حذف الحساب,Conta bloqueada / Excluir conta
账户,Unsubscribe Newsletter,Newsletter abbestellen,Annulla iscrizione newsletter,Cancelar suscripción al boletín,Se désabonner de la newsletter,Anuluj subskrypcję newslettera,Afmelden voor nieuwsbrief,Díliostáil ón Nuachtlitir,ニュースレター配信停止,إلغاء الاشتراك في النشرة الإخبارية,Cancelar inscrição na newsletter
